,0,1,InspName,InspAddress
11699,Prentice Women's Hospital Cafeteria,250 E Superior St,PRENTICE KITCHEN,250 E SUPERIOR ST 
11700,Noodles & Company,180 N Michigan Ave,NOODLES & COMPANY,180 N MICHIGAN AVE 
11701,Beacon,13300 S Brandon Ave,BEACON TAP,13300 S BRANDON AVE 
11702,Uncle Joe's,4655 S King Dr,Not Found,Not Found
11703,New Rebozo Chicago,46 E Superior St,NEW REBOZO CHICAGO,46 E SUPERIOR ST 
11704,Taylor Wine & Spirits,1455 W Taylor St,MICHAEL'S WINE & SPIRITS,1455 W TAYLOR 
11705,Cafe El Meson,6624 N Clark St,CAFE EL MESON INCORPORATED,6624 N CLARK ST 
11706,Save A Lot,4701 S Cottage Grove,SAVE-A-LOT  #862,4701 S COTTAGE GROVE AVE 
11707,Naha,500 N Clark St,NAHA RESTAURANT,500 N CLARK ST 
11708,Dark Matter Coffee - Electric Mud Coffee Bar,1856 N Western Ave,ELECTRIC MUD COFFEE BAR,1856 N WESTERN AVE 
11709,Igor's Pelmeni,2468 N Clark St,"PELMENI, LLC",2468 N CLARK ST 
11710,Antojitos Majicos,3540 W Lawrence Ave,ANTOJITOS MAJICOS,3540 W LAWRENCE AVE 
11711,Kingfish Seafood,413 E 71st Str,KINGFISH SEAFOOD INC,413 E 71ST ST 
11712,Tacos Erendira,3207 S Halsted St,TACO'S  ERENDIRA,3207 S HALSTED ST 
11713,Chicago Wings Around the World,557 E 75th St,CHICAGO WINGS AROUND THE WORLD 75TH LLC,557 E 75TH ST 
11714,Potbelly Sandwich Shop,900 N Michigan Ave,POTBELLY SANDWICH WORKS LLC,900 N MICHIGAN AVE 
11715,Revival Social Club,1133 W Granville Ave,REVIVAL SOCIAL CLUB,1133 W GRANVILLE AVE 
11716,Subway,1014 S Western,SUBWAY,1014 S WESTERN AVE 
11717,Wilbur Wright College,4300 N Narragansett Ave,WILBUR WRIGHT COLLEGE,4300 N NARRAGANSETT AVE 
11718,Sun Fresh Market & Deli,3640 N Central Ave,SUN FRESH MARKET & DELI,3640 N CENTRAL AVE 
11719,Tintin,2468 N Clark St,TINTIN,2468 N CLARK ST 
11720,Johnny's Grill,2545 N Kedzie Blvd,JOHNNY'S GRILL,2545 N KEDZIE BLVD 
11721,Pork Shoppe,5721 N Clark St,PORK SHOPPE,5721-5723 N CLARK ST 
11722,Cafe Chicago,2144 W Van Buren St,THE CAFE CHICAGO,2144 W VAN BUREN 
11723,La Mas Chiquita,5716 W 63rd St,LA MAS CHIQUITA,5716 W 63RD ST 
