,0,1,InspName,InspAddress
0,Ipsento,2035 N Western Ave,IPSENTO,2035 N WESTERN AVE 
1,7-Eleven,600 N Mcclurg Ct,7- ELEVEN,600 N MCCLURG CT 
2,Chicago by Night,5600 W Belmont Ave,CHICAGO BY NIGHT,5600 W BELMONT AVE 
3,Grace's African Restaurant,4409 N Broadway St,GRACE AFRICAN RESTAURANT,4409 N BROADWAY 
4,Furious Spoon Pilsen,1316 W 18th St,FURIOUS SPOON,1316 W 18TH ST 
5,En Passant,3010 W Diversey Ave,EN PASSANT,3010 W DIVERSEY AVE 
6,Beaubien Elem Jean Baptiste,5025 N Laramie Ave,Beaubien Elementary School,5025 N Laramie (5200W) 
7,Uncommon Ground,3800 N Clark St,UNCOMMON GROUND,3800 N CLARK ST 
8,The Drake,140 E Walton Pl,THE DRAKE HOTEL,140 E WALTON PL 
9,Third Rail Tavern,1133 W Madison St,THIRD RAIL TAVERN,1133 W MADISON ST 
10,Max's Take Out,20 E Adams St,MAX'S TAKE OUT,20 E ADAMS ST 
11,Saigon Pho,3222 W Bryn Mawr Ave,SAIGON PHO,3220-3222 W BRYN MAWR AVE 
12,Gogi,6240 N California Ave,GOGI NARA,6240 N CALIFORNIA AVE 
13,Subway,4242 S Wentworth Ave,SUBWAY,4242 S WENTWORTH AVE 
14,Subway,236 S State St,Subway,236 S State ST 
15,Royalty East Banquet Hall,3810 W 63rd St,ROYALTY,3810 W 63RD ST 
16,Arya Bhavan,2508 W Devon Ave,ARYA BHAVAN,2508 W DEVON AVE 
17,Rosati's Pizza,23 E Adams St,ROSATI'S GRANT PARK,23 E ADAMS ST 
18,Butterdough,3452 S Western Ave,BUTTERDOUGH,3452 S WESTERN AVE 
19,Pret A Manger,225 S Canal St,PRET A MANAGER,225 S CANAL ST 
20,Summer,1123 W Granville Ave,SUMMER,1123 W GRANVILLE AVE 
21,M & M Food Mart /cricket Wireless,7073 N Western Ave,M & M FOOD,7073 N WESTERN AVE 
22,Dayglow,1757 N Kimball Ave,DAYGLOW,1757 N KIMBALL AVE 
23,Subway,4406 S Pulaski Rd,SUBWAY,4406 S PULASKI RD 
24,Subway,211 W Adams St,SUBWAY #44541,211 W ADAMS ST 
25,Trattoria Ultimo,1953 W Chicago Ave,TRATTORIA ULTIMO,1953 W CHICAGO AVE 
26,Miss Saigon Restaurant,1129 W Argyle St,MISS SAIGON,1129 W ARGYLE ST 
27,Graze,2401 N Halsted St,GRAZE,2401 N HALSTED ST 
28,Bian Wellness Center,600 W Chicago Ave,BIAN,600 W CHICAGO AVE 
29,Black Dog Gelato,859 N Damen Ave,BLACK DOG GELATO,859 N DAMEN AVE 
30,Nando's Peri-Peri,670 W Diversey Pkwy,NANDO'S PERI-PERI,670 W DIVERSEY PKWY 
31,Atomix,1957 W Chicago Ave,ATOMIX CAFE,1957 W CHICAGO AVE 
32,Rhapsody on Argyle,1002 W Argyle St,RHAPSODY,1002 W ARGYLE ST 
33,Tortazo,233 S Wacker Dr,TORTAZO WILLIS,233 S WACKER DR 
34,CVS Pharmacy,8639 S Cicero Ave,CVS/PHARMACY #2846,8639 S CICERO AVE 
35,The Angry Crab,1308 N Milwaukee Ave,ANGRY CRAB,1308 N MILWAUKEE 
36,Nipsey's Restaurant & Lounge,9156 S Stony Island Ave,NIPSEY'S,9156 S STONY ISLAND AVE 
37,Rice & Noodles,2018 S Blue Island Ave,RICE AND NOODLES,2018 S BLUE ISLAND AVE 
38,John Hancock High School,4034 W 56th St,Hancock (H/S),4034 W 56TH ST 
39,Las Palmas,1835 W North Ave,LAS PALMAS,1835 W NORTH AVE 
40,A.N. Pritzker School,2009 W Schiller St,Pritzker,2009 W Schiller ST 
41,Dinner And A Movie,2500 N Ashland Ave,DINNER AND A MOVIE,2500 N ASHLAND AVE 
42,High Noon Saloon,1560 N Milwaukee Ave,HIGH NOON SALOON,1560 N MILWAUKEE AVE 
43,Ping Pong,3322 N Broadway St,PING PONG RESTAURANT transferred swc permits to 259039-1,3322 N BROADWAY 
44,Baskin-Robbins,1231 S Wabash Ave,BASKIN ROBBINS,1231 S WABASH AVE 
45,Home of the Hoagy,1316 W 111th St,"HOME OF THE HOAGY,INC",1316 W 111TH ST 
46,My Buddy's,4416 N Clark St,MY BUDDY'S,4416 N CLARK ST 
47,Uni Sushi,1752 W North Ave,Uni Sushi Bristo,1752 W NORTH AVE 
48,Kiki's Bistro,900 N Franklin St,KIKI'S BISTRO,900 N FRANKLIN ST 
49,T'oui Macaron and Patisserie,5018 N Broadway,T'OUI MACARON AND PATISSERIE,5018 N BROADWAY 
50,Dollar Tree,4225 W Armitage Ave,DOLLAR TREE #06214,4225 W ARMITAGE AVE 
51,Joy District,112 Hubbard St,JOY DISTRICT,112-114 W HUBBARD ST 
52,White Castle,2140 S Wabash Ave,WHITE CASTLE #63,2140 S WABASH AVE 
53,Budweiser Brickhouse Tavern,3647 N Clark St,BRICKHOUSE TAVERN,3647 N CLARK ST 
54,La Palma Puerto Rican Restaurant,1340 N Homan Ave,LA PALMA RESTAURANT,1340 N HOMAN AVE 
55,Jack's Hot Dogs,3577 W Armitage Ave,JACK 'S HOT DOG,3577 W ARMITAGE AVE 
56,Dan’s Hot Dogs,9314 S Ashland Ave,DAN'S HOT DOG STAND,9314 S ASHLAND AVE 
57,Vegetarian Express,4747 N Damen Ave,VEGETARIAN EXPRESS,4747 N DAMEN AVE 
58,Subway,1525 W Madison Ave,SUBWAY,1525 W MADISON ST 
59,Café Orchid,1746 W Addison St,CAFE ORCHID,1746 W ADDISON ST 
60,Purple Llama,2140 W Division St,PURPLE LLAMA COFFEE AND RECORDS,2140 W DIVISION ST 
61,Azucar,3617 W 27th St,"AZUCAR, NIEVES AND CAFE CORPORATION",3617 W 27TH ST 
62,Cinnaholic,1295 N Milwaukee Ave,CINNAHOLIC CHICAGO,1295 N MILWAUKEE 
63,CVS Pharmacy,1211 West Roosevelt Rd,CVS/PHARMACY # 4793,1211 W ROOSEVELT 
64,Angelo's Wine Bar,3026 W Montrose Ave,ANGELO'S WINE BAR,3024-3026 W MONTROSE AVE 
65,Fin Sushi Bar,1742 W Wilson Ave,FIN SUSHI BAR,1742 W WILSON AVE 
66,Joe's Imports,813 W Fulton Market,JOE'S IMPORTS,813 W FULTON MARKET 
67,Los Azares Mexican Grill,7148 N Harlem Ave,LOS AZARES MEXICAN GRILL LLC,7148 N HARLEM AVE 
68,The Swill Inn,415 N Milwaukee Ave,SWIG,1469 N MILWAUKEE AVE 
69,Kiko's Market & Restaurant,5077 N Lincoln Ave,BEL-AMI RESTAURANT,5530 N LINCOLN AVE 
70,Turkish Cafe,2621 W Lawrence Ave,"TURKISH CAFE RESTAURANT, INC.",2621 W LAWRENCE AVE 
71,Chris's Billiards,4637 N Milwaukee Ave,CHRIS'S BILLIARDS INC.,4637 N MILWAUKEE AVE 
72,Hyatt House Chicago - Medical / University District,1835 W Harrison St,CITGO,3353-3359 W HARRISON ST 
73,Brick's Sports Bar & Grill,4422 W Madison St,BRICKS SPORTS BAR & GRILL,4422 W MADISON ST 
74,Lincoln Park Pizza,2245 N Lincoln Ave,LINCOLN PARK PIZZA,2245 N LINCOLN AVE 
75,Tostini,1622 W Morse Ave,TOSTINI,1622 W MORSE AVE 
76,Rice Thai Cafe,6744 N Sheridan Rd,RICE THAI CAFE,6744 N SHERIDAN RD 
77,What Up Dog,4501 W Lawrence Ave,WHAT UP DOG,4501 W LAWRENCE AVE 
78,Family Dollar,2700 W Division St,FAMILY DOLLAR #2668,2700 W DIVISION ST 
79,Chipotle Mexican Grill,5224 N Broadway St,CHIPOTLE,5224 N BROADWAY 
80,Domino's Pizza,5016 S Pulaski Rd,DOMINO'S PIZZA,5016 S PULASKI RD 
81,The Laundry Bag,2 E 103rd St,"THE LAUNDRY BAG, INC.",2 E 103RD ST 
82,Arbor,2545 W Diversey Ave,ARBOR,2545 W DIVERSEY AVE 
83,La Gondola,2914 N Ashland Ave,LA GONDOLA,2914 N ASHLAND AVE 
84,Testaccio,2456 N California Ave,TESTACCIO,2456 N CALIFORNIA AVE 
85,Freshii,17 E Monroe St,FRESHII RESTAURANT,17 E MONROE ST 
86,Starbucks,3358 N Broadway,STARBUCKS COFFEE #227,3358 N BROADWAY 
87,Walgreens,4385 S Archer Ave,Walgreens #5926,4385 S ARCHER AVE 
88,Chocolate City Coffee Palace & Bodega,2015 W Grand Ave,CHOCOLATE CITY,2015 W GRAND AVE 
89,Nobu Chicago,854 W Randolph St,NOBU,854 W RANDOLPH ST 
90,Eleven | Eleven,1111 W Lake St,ELEVEN ELEVEN,1111-1113 W LAKE ST 
91,House of Cakes,6189 N Canfield Ave,HOUSE OF CAKES,6189 N CANFIELD AVE 
92,Walgreens,2817 N Clark St,WALGREENS #15281,2817 N CLARK ST 
93,TAO Chicago Nightclub,632 N Dearborn St,TAO CHICAGO,632 N DEARBORN ST 
94,Chicago Raw,131 N Clinton St,RAW,131 N CLINTON ST 
95,Ciales Poultry Store,2141 W Armitage Ave,CIALES POULTRY MEATS & FISH,2141 W ARMITAGE AVE 
96,Upton's Breakroom,2054 W Grand Ave,CAPO'S,1147 W GRAND AVE 
97,Dollar Tree,2315 W 95th St,DOLLAR TREE #642,2315 W 95TH ST 
98,Dollar Tree,5119 S Pulaski Rd,DOLLAR TREE #633,5119 S PULASKI RD 
99,Archer Discount,4255 S Archer Ave,ARCHER DISCOUNT STORE,4255 S ARCHER AVE 
100,Ocean Prime,87 E Wacker Dr,OCEAN PRIME,87 E WACKER DR FL 2
101,Starbucks,3845 N Broadway,STARBUCKS COFFEE #49431,3845 N BROADWAY 
102,Mr Pat's Hoagy & Steak Sandwich,1122 W 95th St,MR PAT'S HOAGY AND STEAK SANDWICH,1122 W 95TH ST 
103,Chicago Live Poultry,6421 N Western Ave,CHICAGO LIVE POULTRY,6421 N WESTERN AVE 
104,Family Dollar,4200 W Belmont Ave,FAMILY DOLLAR,4200 W BELMONT AVE 
105,McDonald's,1454 W 47th St,MCDONALD'S,1454 W 47TH ST 
106,Subway,3346 W Foster Ave,SUBWAY,3346 W FOSTER AVE 
107,Chick-fil-A Michigan Avenue,500 N Michigan Ave,CHICK-FIL-A MICHIGAN AVENUE,500 N MICHIGAN AVE 
108,The Terrace Grill,5020 S Lake Shore Dr,"TERRACE GRILL, INC.",5020 S LAKE SHORE WEST DR 
109,Lee Grocery Cash & Carry,4332 N Western Ave,LEE GROCERY INC,4332 N WESTERN AVE 
110,Yolk - Lincoln Park,1504 N Fremont St,YOLK - LINCOLN PARK,1504 N FREMONT ST 
111,Taylormade Que,6717 S Halsted St,TAYLORMADE QUE,6717 S HALSTED ST 
112,Moody Bible Institute Cafeteria,820 N La Salle,THE MOODY BIBLE INSTITUTE OF CHICAGO,820 N LA SALLE DR 
113,KC's Academy of Early Childhood Education,3110 N Sheffield Ave,"KC'S ACADEMY OF EARLY CHILDHOOD EDUCATION, INC",3110 N SHEFFIELD AVE 
114,Edgebrook Coffee Shop,6322 N Central Ave,EDGEBROOK COFFEE SHOP,6322 N CENTRAL AVE 
115,Happy Cake Bakery,5855 W Diversey Ave,HAPPY CAKE LA BAGUETTE,5855 W DIVERSEY AVE 
116,Chipotle Mexican Grill,610 W Diversey Pkwy,CHIPOTLE MEXICAN GRILL,610 W DIVERSEY PKWY 
117,CVS Pharmacy,1200 N Ashland Ave,CVS PHARMACY #5394,1200 N ASHLAND AVE 
118,Sharks Fish & Chicken,338 S California Ave,SHARKS,338 S CALIFORNIA AVE 
119,Walgreens,15 W Washington St,WALGREENS # 07054,15 W WASHINGTON ST 
120,Elysia Root Cakes,1939 W Fulton St,ELYSIA ROOT CAKES,1939 W FULTON ST 
121,Old Pueblo Cantina,1200 W Webster Ave,OLD PUEBLO CANTINA,1200-02 W WEBSTER AVE 
122,Montessori Academy of Chicago,1335 W Randolph St,"MONTESSORI ACADEMY OF CHICAGO I, LLC",1335 W RANDOLPH ST 
123,Overflow Coffee Bar,1550 S State St,"OVERFLOW COFFEE BAR,L3C",1550 S STATE ST 
124,Stax Cafe,522 N Milwaukee Ave,STAX CAFE,522 N MILWAUKEE AVE 
125,Walgreens,430 N Michigan Ave,WALGREENS #2742,430 N MICHIGAN AVE 
126,Walgreens,1500 W Wilson Ave,WALGREENS #2840,1500 W WILSON AVE 
127,Dunkin',3206 W 111th St,DUNKIN DONUTS,3206 W 111th ST 
128,Walgreens,3220 W 111th St,WALGREENS #7360,3220 W 111TH ST 
129,Harold's Chicken #14,1208 E 53rd St,HAROLD'S CHICKEN SHACK #14,1208 E 53RD ST 
130,Dunkin',400 S Financial Pl,Dunkin Donuts,400 S Financial PL 
131,Karachi Chat House,2301 W Devon Ave,KARACHI CHAT HOUSE,2301 W DEVON AVE 
132,80 Proof,1500 N Wells St,80 PROOF,1500 N wells ST 
133,Abe's & Tommie's Carry Out,5107 W Chicago Avenue,ABE'S AND TOMMIE'S CARRYOUT,5107 W CHICAGO AVE 
134,Giordano's,9613 S Western Ave,GIORDANO'S OF BEVERLY,9613 S WESTERN AVE 
135,Hydepark Citgo,6700 S Cottage Grove Ave,CITGO,8721 S COTTAGE GROVE AVE 
136,Family Dollar,5050 S Pulaski Rd,FAMILY DOLLAR #5319,5050 S PULASKI RD 
137,Einstein Bros Bagels,948 W Armitage Ave,"EINSTEIN BROS,BAGELS #3559",948 W ARMITAGE AVE 
138,Raymonds Tacos,283 N Pulaski Rd,RAYMONDS TACOS,283 N PULASKI RD 
139,Lucy's,1043 N California Ave,LUCY'S,1043 N CALIFORNIA AVE 
140,McDonald's,1380 W Lake St,MCDONALD'S,1378-84 W LAKE ST 
141,Tony's Fresh Market,5233 N Lincoln Ave,MAKOTO,5854-5856 N LINCOLN AVE 
142,La Roccia,1909 N Lincoln Ave,LA ROCCIA,1909 N LINCOLN AVE 
143,Fleming's Prime Steakhouse & Wine Bar - Chicago,25 E Ohio St,FLEMING'S PRIME STEAKHOUSE & WINEBAR,25 E OHIO ST 
144,La Fogata Mexican Restaurant,3433 W Lawrence Ave,LA FOGATA NUEVA RESTAURANT,3433 W LAWRENCE AVE 
145,Chipmonks,438 W Diversey Pkwy,CHIPMONKS,438 W DIVERSEY PKWY 
146,Leona's Pizzeria,1236 E 53rd St,LEONA'S PIZZA,1236 E 53RD ST 
147,Oh Hen Mart,9049 S Stony Island Ave,OH HEN MART,9053 S STONY ISLAND AVE 
148,Hai Yen,1055 W Argyle St,HAI YEN,1055 W ARGYLE ST 
149,Crushed by Giants,600 N Michigan,CRUSHED BY GIANT,600 N MICHIGAN AVE 
150,7-Eleven,1400 N Milwaukee,7-ELEVEN #33328C,1400 N MILWAUKEE AVE 
151,Papa John's Pizza,1151 W. Taylor Street,Papa John's Pizza & Yogenfruz,1151 W Taylor 
152,El Vigia Restaurant,4124 W Armitage Ave,EL VIGIA RESTAURANT,4124 W ARMITAGE AVE 
153,Stepping Stones Nursery School,3420 W Fullerton Ave,STEPPING STONES NURSERY SCHOOL INC.,3416-20 W FULLERTON AVE 
154,7-Eleven,6440 W Diversey Ave,7-ELEVEN,6440 W DIVERSEY AVE 
155,Poke Poké,802 W Belmont Ave,POKE POKE,802 W BELMONT AVE 
156,Lowcountry Lakeview,3343 N Clark St,LOWCOUNTRY,3343 N CLARK ST 
157,Barney's Pizza,5648 W Chicago Ave,BARNEY'S PIZZA,5648 W CHICAGO AVE 
158,M Burger,5 W Ontario St,M BURGER,5 W ONTARIO ST BLDG 
159,Seafood Junction,1317 E 87th St,SEAFOOD JUNCTION # 4 INC.,1317 E 87TH ST 
160,Lure Fishbar - Chicago,616 N Rush St,LURE FISHBAR CHICAGO,616 N RUSH ST 
161,Hearty Cafe Pancake House,9623 S Western Ave,HEARTY CAFE PANCAKE HOUSE,9623 S WESTERN AVE 
162,7-Eleven,645 N State,7 ELEVEN #33854B,645 N STATE ST 
163,Tacos Tequilas,2919 N Milwaukee Ave,TACOS TEQUILAS,2919 N MILWAUKEE AVE 
164,I'm Soul Hungry,2043 Howard St,I'M SOUL HUNGRY,2043 W Howard ST 
165,Luella's Gospel Bird,2009 N Damen Ave,LUELLA'S GOSPEL BIRD,2009 N DAMEN AVE 
166,Carbon Arc Bar & Board,4614 North Lincoln Ave,CHALKBOARD,4343 N LINCOLN AVE 
167,Tj's Family Restaurant,1928 W Cermak Rd,T JOELS FAMILY RESTAURANT,1928 W CERMAK RD 
168,Hopsmith Tavern,15 W Division Ave,HOPSMITH TAVERN,15 W DIVISION ST 
169,Dog Haus,2464 N Lincoln Ave,DOG HAUS,2464-2466 N LINCOLN AVE 
170,Halsted Street Deli,222 N La Salle St,HALSTED STREET DELI,222 N LA SALLE ST 
171,Olive Mediterranean Grill,111 W Illinois St,OLIVE MEDITERRANEAN GRILL1,111 W ILLINOIS ST 
172,FireWings,4749 N Pulaski Rd,"FIREWINGS, LLC",4749 N PULASKI RD 
173,Freshii,50 E Washington St,FRESHII,50 E WASHINGTON ST 
174,Ten Cafe,3308 N Western Ave,TEN CAFE,3308 N WESTERN AVE 
175,Little Dennis,3007 W 63rd St,LITTLE DENNIS,3007 W 63RD ST 
176,Isshin Ramen House,1103 W Bryn Mawr Ave,ISSHIN,1103 W BRYN MAWR AVE 
177,Vee Vee African Restaurant,6232 N Broadway St,VEE-VEE'S AFRICAN RESTAURANT,6232 N BROADWAY 
178,Lucky Strike - Wrigleyville,1027 W Addison St,LUCKY STRICK,1027 W ADDISON ST 
179,Taco Bell,2407 N. Clark Street,"WARM BELLY BAKERY, LLC",2472 N CLARK ST 
180,Dona Tola,3751 N Southport Ave,DONA TOLA,3751 N SOUTHPORT AVE 
181,Uncle Remus SFC - 47th Street,737 E 47th St,UNCLE REMUS SFC 3 LLC,737 E 47TH ST 
182,J Freshmart,2411 S Wallace St,J FRESHMART,2411 S WALLACE ST 
183,Calumet Fisheries,3259 E 95th St,CALUMET FISHERIES INC,3259 E 95TH ST 
184,Fort Willow,1721 N Elston Ave,FORT WILLOW,1721 N ELSTON AVE 
185,Palm Court,140 E Walton Pl,PALM COURT,140 E WALTON PL 
186,Vienna Taco House,333 N Central Ave,TACO HOUSE,333 N CENTRAL AVE 
187,Oak Tree,900 N Michigan Ave,OAK TREE RESTAURANT & BAKERY,900 N MICHIGAN AVE 
188,Subway,126 E Cermak Rd,SUWBAY,126 E CERMAK RD 
189,Damenzo's Banquets,741 S Western Ave,Damenzo's,741 S WESTERN AVE 
190,Chez Joel Bistro,1119 W Taylor St,CHEZ JOEL,1119 W TAYLOR ST 
191,Broasted Chicken Royal,5930 W Lawrence Ave,BROASTED CHICKEN ROYAL CHICAGO LTD,5930 W LAWRENCE AVE 
192,Pret A Manger,500 West Madison St,PRET A MANGER,500 W MADISON ST 
193,Subway,1139 W Granville Ave,SUBWAY SANDWICHES,1139 W GRANVILLE AVE 
194,Seafood Junction Uptown Chicago,4515 N Sheridan Rd,SEAFOOD JUNCTION MARKET,4515 N SHERIDAN RD 
195,Pret A Manger,222 Merchandise Mart,PRET A MANGER,222 W MERCHANDISE MART PLZ 
196,Palla's Grill,4570 N Broadway St,PALLAS GRILL,4570 N BROADWAY 
197,Bella Bacinos,66 E Wacker Pl,BELLA! BACINO'S,66 E WACKER PL 
198,Subway,2319 W Madison St,SUBWAY,2319 W MADISON ST 
199,Axis Chicago,5335 S Pulaski Ave,Not Found,Not Found
200,Sheraton Grand Chicago,301 E North Water St,SHERATON CHICAGO HOTEL/TOWER,301 E NORTH WATER ST 
201,Taqueria Express,1232 N LaSalle Dr,TAQUERIA EXPRESS,1232 N LA SALLE DR 
202,Bartoli’s Pizzeria,658 N Ashland Ave,BARTOLI'S PIZZERIA,658 N ASHLAND AVE 
203,The Florentine,151 W Adams St,THE FLORENTINE,151 W ADAMS ST 
204,Exchequer Restaurant & Pub,226 S Wabash Ave,EXCHEQUER RESTAURANT,224-226 S WABASH AVE 
205,Rosebud Steakhouse,192 E Walton Pl,Rosebud Steakhouse,192 E WALTON ST 
206,Jimmy John's,237 W North Ave,JIMMY JOHNS,237 W NORTH AVE 
207,6 Degrees,1935 N Damen,6 DEGREES,1935 N DAMEN AVE 
208,Polonia Banquets,4604 S Archer Ave,POLONIA,4604 S ARCHER AVE 
209,Tan lu 探炉,2101 S China Pl,TAN LU,2101 S CHINA PL 
210,T Opera Cafe,1958 W 35th St,T-OPERA CAFE,1958 W 35TH ST 
211,Cosi,233 N Michigan Ave,COSI,233 N MICHIGAN AVE 
212,Easy Living Juice Bar,1907 W 87th St,EASY LIVING JUICE BAR LLC,1907 W 87TH ST 
213,MingHin Cuisine,215 E Ohio St,MINGHIN STRETEREVILLE,215 E OHIO ST 
214,Barton G. The Restaurant Chicago,415 N Dearborn St,BARTON G - THE RESTAURANT,415 N DEARBORN ST 
215,Min Min Asian Cafe,1465 W Irving Park Rd,MIN MIN CAFE,1465 W IRVING PARK RD 
216,Durum Cafe,651 W Washington Blvd,DURUM CAFE,651 W WASHINGTON BLVD 
217,See Thru Chinese Kitchen,8357 S Cottage Grove,SEE THRU CHINESE KITCHEN,8357 S COTTAGE GROVE AVE 
218,Beat Kitchen,2100 W Belmont Ave,BEAT KITCHEN,2100 W BELMONT AVE 
219,Gene & Georgetti,500 N Franklin St,CLUB GENE & GEORGETTI,500 N FRANKLIN ST 
220,Rosded Restaurant,2308 W Leland Ave,ROSDED RESTAURANT,2308 W LELAND AVE 
221,Icy Honey,3132 S Morgan St,ICY HONEY,3132 S MORGAN ST 
222,Oasis Fresh,500 W Diversey Pkwy,OASIS FRESH FOOD INC.,500 W DIVERSEY PKWY 
223,DoubleTree by Hilton Hotel Chicago - Magnificent Mile,300 E Ohio St,DOUBLETREE BY HILTON CHICAGO-MAGNIFICENT MILE,300 E OHIO ST 
224,Walgreens,5625 N Ridge Ave,WALGREENS,5625 N RIDGE AVE 
225,Taco Bell Cantina,178 North Wabash Ave,TACO BELL,178 N Wabash AVE 
226,Nikos Greek Grill,1215 W Devon Ave,NIKOS GRILL,1215 W DEVON AVE 
227,Dona Naty's Tacos,1815 W Chicago Ave,DONA NATYS TACOS,1815 W CHICAGO AVE 
228,2 Asian Brothers,3222 W Foster Ave,2 ASIAN BROTHERS,3222 W FOSTER AVE 
229,Chicago Diplomat Cafe,3134 N Lincoln Ave,CHICAGO DIPLOMAT CAFE,3134 N LINCOLN AVE 
230,AP Deli,5251 W Madison St,A.P. DELI INC. XI,5251 W MADISON ST 
231,Five Guys,22 S Clinton Ave,FIVE GUYS BURGERS & FRIES,22 S CLINTON ST 
232,Simply thalia,108 N State St,SIMPLY THALIA,108 N STATE ST 
233,Huaraches Dona Chio,1547 W Elmdale Ave,HUARACHES DONA CHIO,1547 W ELMDALE AVE 
234,Pizza Fried Chicken Ice Cream,960 W 31st St,PIZZA FRIED CHICKEN ICE CREAM,964 W 31ST ST 
235,Leah’s Pancake House,5004 S Archer Ave,LEAH'S PANCAKE HOUSE,5004-5006 S ARCHER AVE 
236,Macku Sushi,2239 N Clybourn Ave,MACKU,2239 N CLYBOURN AVE 
237,Le Pain Quotidien,1000 W Armitage Ave,LE PAIN QUOTIDIEN,1000-1002 W ARMITAGE AVE 
238,Dunkin',5700 S Cicero Ave,DUNKIN' DONUTS,5700 S CICERO AVE 
239,Michella Terrace Banquet Rooms,5215 W Irving Park Rd,MICHELLA TERRACE,5215-5219 W IRVING PARK RD 
240,The Coffee & Tea Exchange,3311 N Broadway,COFFEE & TEA EXCHANGE,3311 N BROADWAY 
241,Sully's House,1501 N Dayton St,SULLY'S HOUSE,1501 N DAYTON ST 
242,Atlantic Bar & Grill,5062 N Lincoln Ave,THE ATLANTIC BAR & GRILL,5062 N LINCOLN AVE 
243,Ray's Round-Up Bar & Grill,3930 N Cicero Ave,RAY'S ROUND UP BAR-GRILL,3930 N CICERO AVE 
244,Two Hearted Queen,3500 N Halsted St,TWO HEARTED QUEEN,3500 N HALSTED ST 
245,Hayden Hall,333 S Wabash Ave,HAYDEN HALL,333 S WABASH AVE 
246,Dunkin',1550 W Garfield Blvd,DUNKIN DONUTS,1550 W GARFIELD BLVD 
247,International Grill,1236 W 18th St,INTERNATIONAL GRILL,1236 W 18TH ST 
248,Instituto Del Progreso Latino,2520 S Western Ave,RAINBOW,4825 N WESTERN AVE 
249,Half Sour,755 S Clark St,HALF SOUR,755 S CLARK ST 
250,Miss Lee's Good Food,203 E Garfield Blvd,MISS LEE GOOD FOOD,203-205 E GARFIELD BLVD 
251,Sweet Virginia's Kitchen,5131 N Damen Ave,SWEET VIRGINIA'S KITCHEN,5131 N DAMEN AVE 
252,Maicos Bakery,4242 S Archer,MAICOS BAKERY IL. CORP.,4242 S ARCHER AVE 
253,Simòn Tacos,4263 N Milwaukee Ave,SIMON TACOS INC.,4263 N MILWAUKEE AVE 
254,Reverie,414 N Orleans St,REVERIE,414 N ORLEANS ST 
255,Mild 2 Spicy,714 W Diversey Pkwy,MILD2 SPICY,714 W DIVERSEY PKWY 
256,Wendy's,8740 S. Lafayette Ave,WENDY'S,8740 S LAFAYETTE AVE 
257,Checkers,3808 W Roosevelt Rd,CHECKERS / RALLY'S,3808 W ROOSEVELT RD 
258,Artemio's Bakery,3904 N Sheridan Rd,ARTEMIO'S BAKERY,3904-3906 N SHERIDAN RD 
259,Lugano's Pizza,4460 S Kedzie Ave,LUGANOS PIZZA,4460 S KEDZIE AVE 
260,The Learning Experience - Bucktown,2642 N Jones St,THE LEARNING EXPERIENCE,2642 N JONES ST 
261,Joseph J Gentile Arena,6525 N Sheridan Rd,LOYOLA UNIVERSITY OF CHICAGO GENTILE ARENA,6525 N SHERIDAN RD 
262,KAI ZAN,2557 W Chicago Ave,KAI ZAN,2557 W CHICAGO AVE 
263,Snarf's,180 N Stetson Ave,SNARF'S,180 N STETSON AVE FL 
264,Pioneer Food & Liquor,3959 W Armitage Ave,PIONEER FOOD AND LIQUOR,3959 W ARMITAGE AVE 
265,minigrow,28 S Wabash Ave,MINIGROW BY HONEYGROW,28 S WABASH AVE 
266,Starbucks,150 N Riverside,STARBUCKS COFFEE #47565,150 N RIVERSIDE PLZ 
267,Caribbean Jerk Palace,3792 W 79th St,CARRIBEAN JERK PALACE,3792 W 79TH ST 
268,Popeyes Louisiana Kitchen,50 N Western Ave,LOUISIANA FRIED CHICKEN,2003 S WESTERN AVE 
269,Velvet Taco,2309 N Lincoln Ave,VELVET TACO,2309 N LINCOLN AVE 
270,Los Amantes,4753 W 47th St,LOS AMANTES,4753 W 47TH ST 
271,Chicago Grind,5256 N Broadway,CHICAGO GRIND,5256 N BROADWAY 
272,Furious Spoon Andersonville,5406 North Clark St,FURIOUS SPOON,5406 N CLARK ST 
273,Amarit Thai & Sushi,600 S Dearborn St,ARGO TEA,140 S DEARBORN ST 
274,Local Market Foods,2101 E 71st St,LOCAL MARKET,2101 E 71ST ST 
275,Chipotle Mexican Grill,1027 W Addison St,CHIPOTLE MEXICAN GRILL,1025 W ADDISON ST 
276,Chuckies Grill,1358 E 75th St,CHUCKIES GRILL,1358 E 75TH ST 
277,Wise Owl Drinkery & Cookhouse,324 S Racine Ave,WISE OWL DRINKERY & COOKHOUSE,324 S RACINE AVE 
278,Taqueria El Patron,3233 W Cermak Rd,EL PATRON II,3233 W CERMAK RD 
279,Papa John's Pizza,"2620 N. Narragansett Ave, Space B-4",PAPA JOHN'S PIZZA,2620 N NARRAGANSETT AVE 
280,B&Q Afro Root Cuisine,4701 N Kenmore Ave,BQ AFROROOT CUISINE,4701 N KENMORE AVE 
281,Premium Seafood Hot Pot,1130 W Argyle St,SEA FOOD HOT POT,1130 W ARGYLE ST 
282,Taqueria Morelia,3943 W Lawrence Ave,TAQUERIA MORELIA,3941-3943 W LAWRENCE AVE 
283,Banh Mi,3141 N Broadway St,NEW BANH MI & CO.,3141 N BROADWAY ST 
